dataset,mu,pL,pM,pH,H,HSCT,D,r_modern,CF,AS
ToN_IoT,0.297,0.5498,0.4502,0.0,0.6264,0.0,0.0,0.7778,0.3657,0.3671
CSE-CIC-IDS2018,0.2784,0.8368,0.1632,0.0,0.405,0.0,0.0,0.0,0.2833,0.229
NSL-KDD,0.207,0.9597,0.0391,0.0012,0.1588,0.2727,0.15,0.0,0.4167,0.2264
UNSW-NB15,0.2534,0.7052,0.2937,0.0011,0.5583,0.1667,0.75,0.0,0.325,0.2037
UNR-IDD,0.1769,1.0,0.0,0.0,-0.0,0.0,0.0,1.0,0.15,0.1994
HIKARI-2021,0.1068,0.913,0.0,0.087,0.269,0.3333,0.75,0.75,0.2583,0.1923
BoT-IoT,0.2438,1.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.3167,0.1645
CIC-IDS2017,0.1762,0.9952,0.0048,0.0,0.0278,0.0,0.0,0.0,0.2917,0.1387
