dataset,purpose,FCPA,flow_coverage,content_coverage,time_coverage,conn/flags_coverage,statistical_coverage,telemetry_coverage
NSL-KDD,general-enterprise-nids,0.5952,0.9167,1.0,0.1667,0.125,1.0,0.0
UNSW-NB15,general-enterprise-nids,0.3345,1.0,0.0,0.1667,0.25,0.3,0.125
CICIDS2017,general-enterprise-nids,0.6429,1.0,0.0,1.0,1.0,1.0,0.0
CSE-CIC-IDS2018,general-enterprise-nids,0.6429,1.0,0.0,1.0,1.0,1.0,0.0
ToN_IoT,iot-iiot,0.5536,1.0,0.0,0.1667,0.125,0.0,1.0
BoT_IoT,iot-iiot,0.5071,1.0,0.0,0.5,0.5,0.8,0.0
HIKARI-2021,encrypted-flow-only,0.7143,1.0,0.0,1.0,0.0,1.0,0.0
UNR-IDD,sdn-telemetry,0.6333,1.0,0.0,0.5,0.0,0.3,0.75
